plan_type,2018
HMO/HMOPOS,2678
Medicare Prescription Drug Plan,1011
Local PPO,966
National PACE,258
Regional PPO,109
1876 Cost,101
Medicare-Medicaid Plan HMO/HMOPOS,54
PFFS,50
HCPP - 1833 Cost,9
MSA,5
Employer/Union Only Direct Contract PDP,3
